name,primary_muscle,secondary_muscles,equipment,category,level
Barbell Bench Press - Medium Grip,chest,"shoulders, triceps",barbell,strength,beginner
Barbell Curl,biceps,forearms,barbell,strength,beginner
Barbell Curls Lying Against An Incline,biceps,,barbell,strength,beginner
Barbell Deadlift,lower back,"calves, forearms, glutes, hamstrings, lats, middle back, quadriceps, traps",barbell,strength,intermediate
Barbell Full Squat,quadriceps,"calves, glutes, hamstrings, lower back",barbell,strength,intermediate
Barbell Glute Bridge,glutes,"calves, hamstrings",barbell,powerlifting,intermediate
Barbell Guillotine Bench Press,chest,"shoulders, triceps",barbell,strength,intermediate
Barbell Hack Squat,quadriceps,"calves, forearms, hamstrings",barbell,strength,intermediate
Barbell Hip Thrust,glutes,"calves, hamstrings",barbell,powerlifting,intermediate
Barbell Incline Bench Press - Medium Grip,chest,"shoulders, triceps",barbell,strength,beginner
Barbell Incline Shoulder Raise,shoulders,chest,barbell,strength,beginner
Barbell Lunge,quadriceps,"calves, glutes, hamstrings",barbell,strength,intermediate
Barbell Rear Delt Row,shoulders,"biceps, lats, middle back",barbell,strength,beginner
Barbell Rollout from Bench,abdominals,"glutes, hamstrings, lats, shoulders",barbell,strength,intermediate
Barbell Seated Calf Raise,calves,,barbell,strength,beginner
Barbell Shoulder Press,shoulders,"chest, triceps",barbell,strength,intermediate
Barbell Shrug,traps,,barbell,strength,beginner
Barbell Shrug Behind The Back,traps,"forearms, middle back",barbell,strength,beginner
Barbell Side Bend,abdominals,lower back,barbell,strength,beginner
Barbell Side Split Squat,quadriceps,"calves, hamstrings, lower back",barbell,strength,beginner
Barbell Squat,quadriceps,"calves, glutes, hamstrings, lower back",barbell,strength,beginner
Barbell Squat To A Bench,quadriceps,"calves, glutes, hamstrings, lower back",barbell,strength,expert
Barbell Step Ups,quadriceps,"calves, glutes, hamstrings, quadriceps",barbell,strength,intermediate
Barbell Walking Lunge,quadriceps,"calves, glutes, hamstrings",barbell,strength,beginner
Battling Ropes,shoulders,"chest, forearms",other,strength,beginner
Bear Crawl Sled Drags,quadriceps,"calves, glutes, hamstrings",other,strongman,beginner
Behind Head Chest Stretch,chest,shoulders,other,stretching,expert
Bench Dips,triceps,"chest, shoulders",body only,strength,beginner
Bench Jump,quadriceps,"calves, glutes, hamstrings",body only,plyometrics,intermediate
Bench Press - Powerlifting,triceps,"chest, forearms, lats, shoulders",barbell,powerlifting,intermediate
Bench Press - With Bands,chest,"shoulders, triceps",bands,strength,beginner
Bench Press with Chains,triceps,"chest, lats, shoulders",barbell,powerlifting,expert
Bench Sprint,quadriceps,"calves, glutes, hamstrings",other,plyometrics,beginner
Bent-Arm Barbell Pullover,lats,"chest, lats, shoulders, triceps",barbell,strength,intermediate
Bent-Arm Dumbbell Pullover,chest,"lats, shoulders, triceps",dumbbell,strength,intermediate
Bent-Knee Hip Raise,abdominals,,body only,strength,beginner
Bent Over Barbell Row,middle back,"biceps, lats, shoulders",barbell,strength,beginner
Bent Over Dumbbell Rear Delt Raise With Head On Bench,shoulders,,dumbbell,strength,beginner
Bent Over Low-Pulley Side Lateral,shoulders,"lower back, middle back, traps",cable,strength,beginner
Bent Over One-Arm Long Bar Row,middle back,"biceps, lats, lower back, traps",barbell,strength,beginner
Bent Over Two-Arm Long Bar Row,middle back,"biceps, lats",barbell,strength,intermediate
Bent Over Two-Dumbbell Row,middle back,"biceps, lats, shoulders",dumbbell,strength,beginner
Bent Over Two-Dumbbell Row With Palms In,middle back,"biceps, lats",dumbbell,strength,beginner
Bent Press,abdominals,"glutes, hamstrings, lower back, quadriceps, shoulders, triceps",kettlebells,strength,expert
Bicycling,quadriceps,"calves, glutes, hamstrings",other,cardio,beginner
"Bicycling, Stationary",quadriceps,"calves, glutes, hamstrings",machine,cardio,beginner
Board Press,triceps,"chest, forearms, lats, shoulders",barbell,powerlifting,intermediate
Body-Up,triceps,"abdominals, forearms",body only,strength,intermediate
Body Tricep Press,triceps,,body only,strength,beginner
Bodyweight Flyes,chest,"abdominals, shoulders, triceps",e-z curl bar,strength,intermediate
Bodyweight Mid Row,middle back,"biceps, lats",other,strength,intermediate
Bodyweight Squat,quadriceps,"glutes, hamstrings",body only,strength,beginner
Bodyweight Walking Lunge,quadriceps,"calves, glutes, hamstrings",,strength,beginner
Bosu Ball Cable Crunch With Side Bends,abdominals,,cable,strength,beginner
Bottoms-Up Clean From The Hang Position,forearms,"biceps, shoulders",kettlebells,strength,intermediate
Bottoms Up,abdominals,,body only,strength,beginner
Box Jump (Multiple Response),hamstrings,"abductors, adductors, calves, glutes, quadriceps",other,plyometrics,beginner
Box Skip,hamstrings,"abductors, adductors, calves, glutes, quadriceps",other,plyometrics,beginner
Box Squat,quadriceps,"adductors, calves, glutes, hamstrings, lower back",barbell,powerlifting,intermediate
Box Squat with Bands,quadriceps,"abductors, adductors, calves, glutes, hamstrings, lower back",barbell,powerlifting,expert
Box Squat with Chains,quadriceps,"abductors, adductors, calves, glutes, hamstrings, lower back",barbell,strength,expert
Brachialis-SMR,biceps,,foam roll,stretching,intermediate
Bradford/Rocky Presses,shoulders,triceps,barbell,strength,beginner
Butt-Ups,abdominals,,body only,strength,beginner
Butt Lift (Bridge),glutes,hamstrings,body only,strength,beginner
Butterfly,chest,,machine,strength,beginner
Cable Chest Press,chest,"shoulders, triceps",cable,strength,beginner
Cable Crossover,chest,shoulders,cable,strength,beginner
Cable Crunch,abdominals,,cable,strength,beginner
Cable Deadlifts,quadriceps,"forearms, glutes, hamstrings, lower back",cable,strength,beginner
Cable Hammer Curls - Rope Attachment,biceps,,cable,strength,beginner
Cable Hip Adduction,quadriceps,,cable,strength,beginner
Cable Incline Pushdown,lats,,cable,strength,beginner
Cable Incline Triceps Extension,triceps,,cable,strength,beginner
Cable Internal Rotation,shoulders,,cable,strength,beginner
Cable Iron Cross,chest,,cable,strength,beginner
Cable Judo Flip,abdominals,,cable,strength,beginner
Cable Lying Triceps Extension,triceps,,cable,strength,beginner
Cable One Arm Tricep Extension,triceps,,cable,strength,beginner
Cable Preacher Curl,biceps,forearms,cable,strength,beginner
Cable Rear Delt Fly,shoulders,,cable,strength,beginner
Cable Reverse Crunch,abdominals,,cable,strength,beginner
Cable Rope Overhead Triceps Extension,triceps,,cable,strength,beginner
Cable Rope Rear-Delt Rows,shoulders,"biceps, middle back",cable,strength,beginner
Cable Russian Twists,abdominals,,cable,strength,beginner
Cable Seated Crunch,abdominals,,cable,strength,beginner
Cable Seated Lateral Raise,shoulders,"middle back, traps",cable,strength,beginner
Cable Shoulder Press,shoulders,triceps,cable,strength,beginner
Cable Shrugs,traps,,cable,strength,beginner
Cable Wrist Curl,forearms,,cable,strength,beginner
Calf-Machine Shoulder Shrug,traps,,machine,strength,beginner
Calf Press,calves,,machine,strength,beginner
Calf Press On The Leg Press Machine,calves,,machine,strength,beginner
Calf Raise On A Dumbbell,calves,,dumbbell,strength,intermediate
Calf Raises - With Bands,calves,,bands,strength,beginner
Calf Stretch Elbows Against Wall,calves,,,stretching,beginner
Calf Stretch Hands Against Wall,calves,,,stretching,beginner
Calves-SMR,calves,,foam roll,stretching,intermediate
Car Deadlift,quadriceps,"forearms, glutes, hamstrings, lower back, traps",other,strongman,intermediate
Car Drivers,shoulders,forearms,barbell,strength,beginner
Carioca Quick Step,adductors,"abdominals, abductors, calves, glutes, hamstrings, quadriceps",,plyometrics,beginner
Cat Stretch,lower back,"middle back, traps",,stretching,beginner
Catch and Overhead Throw,lats,"abdominals, chest, shoulders",medicine ball,plyometrics,beginner
Chain Handle Extension,triceps,,other,powerlifting,intermediate
Chain Press,chest,"shoulders, triceps",other,powerlifting,intermediate
Chair Leg Extended Stretch,hamstrings,adductors,other,stretching,beginner
Chair Lower Back Stretch,lats,lower back,,stretching,beginner
Chair Squat,quadriceps,"calves, glutes, hamstrings",machine,strength,beginner
Chair Upper Body Stretch,shoulders,"biceps, chest",other,stretching,beginner
Chest And Front Of Shoulder Stretch,chest,shoulders,other,stretching,beginner
Chest Push from 3 point stance,chest,"abdominals, shoulders, triceps",medicine ball,plyometrics,beginner
Chest Push (multiple response),chest,"abdominals, shoulders, triceps",medicine ball,plyometrics,beginner
Chest Push (single response),chest,"abdominals, shoulders, triceps",medicine ball,plyometrics,beginner
Chest Push with Run Release,chest,"abdominals, shoulders, triceps",medicine ball,plyometrics,beginner
Chest Stretch on Stability Ball,chest,,exercise ball,stretching,beginner
Child's Pose,lower back,"glutes, middle back",,stretching,beginner
Chin-Up,lats,"biceps, forearms, middle back",body only,strength,beginner
Chin To Chest Stretch,neck,traps,,stretching,beginner
Circus Bell,shoulders,"forearms, glutes, hamstrings, lower back, traps, triceps",other,strongman,expert
Clean,hamstrings,"calves, forearms, glutes, lower back, quadriceps, shoulders, traps",barbell,olympic weightlifting,intermediate
Clean Deadlift,hamstrings,"forearms, glutes, lower back, middle back, quadriceps, traps",barbell,olympic weightlifting,beginner
Clean Pull,quadriceps,"forearms, glutes, hamstrings, lower back, traps",barbell,olympic weightlifting,intermediate
Clean Shrug,traps,"forearms, shoulders",barbell,olympic weightlifting,beginner
Clean and Jerk,shoulders,"abdominals, glutes, hamstrings, lower back, quadriceps, traps, triceps",barbell,olympic weightlifting,expert
Clean and Press,shoulders,"abdominals, calves, glutes, hamstrings, lower back, middle back, quadriceps, shoulders, traps, triceps",barbell,strength,intermediate
Clean from Blocks,quadriceps,"calves, glutes, hamstrings, shoulders, traps",barbell,olympic weightlifting,intermediate
Clock Push-Up,chest,"shoulders, triceps",body only,strength,intermediate
Close-Grip Barbell Bench Press,triceps,"chest, shoulders",barbell,strength,beginner
Close-Grip Dumbbell Press,triceps,"chest, shoulders",dumbbell,strength,beginner
Close-Grip EZ-Bar Curl with Band,biceps,forearms,e-z curl bar,strength,beginner
Close-Grip EZ-Bar Press,triceps,"chest, shoulders",e-z curl bar,strength,beginner
Close-Grip EZ Bar Curl,biceps,forearms,barbell,strength,beginner
Close-Grip Front Lat Pulldown,lats,"biceps, middle back, shoulders",cable,strength,beginner
Close-Grip Push-Up off of a Dumbbell,triceps,"abdominals, chest, shoulders",body only,strength,intermediate
Close-Grip Standing Barbell Curl,biceps,forearms,barbell,strength,beginner
Cocoons,abdominals,,body only,strength,beginner
Conan's Wheel,quadriceps,"abdominals, biceps, calves, forearms, lower back, shoulders, traps",other,strongman,intermediate
Concentration Curls,biceps,forearms,dumbbell,strength,beginner
Cross-Body Crunch,abdominals,,body only,strength,beginner
Cross Body Hammer Curl,biceps,forearms,dumbbell,strength,beginner
Cross Over - With Bands,chest,"biceps, shoulders",bands,strength,beginner
Crossover Reverse Lunge,lower back,"abdominals, abductors, glutes, hamstrings, quadriceps",,stretching,intermediate
Crucifix,shoulders,forearms,other,strongman,beginner
Crunch - Hands Overhead,abdominals,,body only,strength,beginner
Crunch - Legs On Exercise Ball,abdominals,,body only,strength,beginner
Crunches,abdominals,,body only,strength,beginner
Cuban Press,shoulders,traps,dumbbell,strength,intermediate
Dancer's Stretch,lower back,"abductors, glutes",,stretching,beginner
Dead Bug,abdominals,,body only,strength,beginner
Deadlift with Bands,lower back,"forearms, glutes, hamstrings, middle back, quadriceps, traps",barbell,powerlifting,expert
Deadlift with Chains,lower back,"forearms, glutes, hamstrings, middle back, quadriceps, traps",barbell,powerlifting,expert
Decline Barbell Bench Press,chest,"shoulders, triceps",barbell,strength,beginner
Decline Close-Grip Bench To Skull Crusher,triceps,"chest, shoulders",barbell,strength,intermediate
Decline Crunch,abdominals,,body only,strength,intermediate
Decline Dumbbell Bench Press,chest,"shoulders, triceps",dumbbell,strength,beginner
Decline Dumbbell Flyes,chest,,dumbbell,strength,beginner
Decline Dumbbell Triceps Extension,triceps,,dumbbell,strength,beginner
Decline EZ Bar Triceps Extension,triceps,,barbell,strength,beginner
Decline Oblique Crunch,abdominals,,body only,strength,beginner
Decline Push-Up,chest,"shoulders, triceps",,strength,beginner
Decline Reverse Crunch,abdominals,,body only,strength,beginner
Decline Smith Press,chest,"shoulders, triceps",machine,strength,beginner
Deficit Deadlift,lower back,"forearms, glutes, hamstrings, middle back, quadriceps, traps",barbell,powerlifting,intermediate
Depth Jump Leap,quadriceps,"abductors, adductors, calves, glutes, hamstrings",other,plyometrics,beginner
Dip Machine,triceps,"chest, shoulders",machine,strength,beginner
Dips - Chest Version,chest,"shoulders, triceps",other,strength,intermediate
Dips - Triceps Version,triceps,"chest, shoulders",body only,strength,beginner
Donkey Calf Raises,calves,,other,strength,intermediate
Double Kettlebell Alternating Hang Clean,hamstrings,"biceps, calves, forearms, glutes, lower back, quadriceps, traps",kettlebells,strength,intermediate
Double Kettlebell Jerk,shoulders,"calves, quadriceps, triceps",kettlebells,strength,intermediate
Double Kettlebell Push Press,shoulders,"calves, quadriceps, triceps",kettlebells,strength,intermediate
Double Kettlebell Snatch,shoulders,"glutes, hamstrings, quadriceps",kettlebells,strength,expert
Double Kettlebell Windmill,abdominals,"glutes, hamstrings, shoulders, triceps",kettlebells,strength,intermediate
Double Leg Butt Kick,quadriceps,"abductors, adductors, calves, glutes, hamstrings",body only,plyometrics,beginner
Downward Facing Balance,glutes,"abdominals, hamstrings",exercise ball,strength,intermediate
Drag Curl,biceps,forearms,barbell,strength,intermediate
Drop Push,chest,"shoulders, triceps",other,plyometrics,intermediate
Dumbbell Alternate Bicep Curl,biceps,forearms,dumbbell,strength,beginner
Dumbbell Bench Press,chest,"shoulders, triceps",dumbbell,strength,beginner
Dumbbell Bench Press with Neutral Grip,chest,"shoulders, triceps",dumbbell,strength,beginner
Dumbbell Bicep Curl,biceps,forearms,dumbbell,strength,beginner
Dumbbell Clean,hamstrings,"calves, forearms, glutes, lower back, quadriceps, shoulders, traps",dumbbell,strength,intermediate
Dumbbell Floor Press,triceps,"chest, shoulders",dumbbell,powerlifting,intermediate
Dumbbell Flyes,chest,,dumbbell,strength,beginner
Dumbbell Incline Row,middle back,"biceps, forearms, lats, shoulders",dumbbell,strength,beginner
Dumbbell Incline Shoulder Raise,shoulders,triceps,dumbbell,strength,beginner
Dumbbell Lunges,quadriceps,"calves, glutes, hamstrings",dumbbell,strength,beginner
Dumbbell Lying One-Arm Rear Lateral Raise,shoulders,middle back,dumbbell,strength,intermediate
Dumbbell Lying Pronation,forearms,,dumbbell,strength,intermediate
Dumbbell Lying Rear Lateral Raise,shoulders,,dumbbell,strength,intermediate
Dumbbell Lying Supination,forearms,,dumbbell,strength,intermediate
Dumbbell One-Arm Shoulder Press,shoulders,triceps,dumbbell,strength,intermediate
Dumbbell One-Arm Triceps Extension,triceps,,dumbbell,strength,intermediate
Dumbbell One-Arm Upright Row,shoulders,"biceps, traps",dumbbell,strength,intermediate
Dumbbell Prone Incline Curl,biceps,,dumbbell,strength,intermediate
Dumbbell Raise,shoulders,biceps,dumbbell,strength,beginner
Dumbbell Rear Lunge,quadriceps,"calves, glutes, hamstrings",dumbbell,strength,intermediate
Dumbbell Scaption,shoulders,traps,dumbbell,strength,beginner
Dumbbell Seated Box Jump,quadriceps,"calves, glutes, hamstrings",dumbbell,plyometrics,intermediate
Dumbbell Seated One-Leg Calf Raise,calves,,dumbbell,strength,beginner
Dumbbell Shoulder Press,shoulders,triceps,dumbbell,strength,intermediate
Dumbbell Shrug,traps,,dumbbell,strength,beginner
Dumbbell Side Bend,abdominals,,dumbbell,strength,beginner
Dumbbell Squat,quadriceps,"calves, glutes, hamstrings, lower back",dumbbell,strength,beginner
Dumbbell Squat To A Bench,quadriceps,"calves, glutes, hamstrings, lower back",dumbbell,strength,intermediate
Dumbbell Step Ups,quadriceps,"calves, glutes, hamstrings",dumbbell,strength,intermediate
Dumbbell Tricep Extension -Pronated Grip,triceps,,dumbbell,strength,beginner
Dynamic Back Stretch,lats,,,stretching,beginner
Dynamic Chest Stretch,chest,middle back,,stretching,beginner
EZ-Bar Curl,biceps,,e-z curl bar,strength,beginner
EZ-Bar Skullcrusher,triceps,forearms,e-z curl bar,strength,beginner
Elbow Circles,shoulders,traps,,stretching,beginner
Elbow to Knee,abdominals,,body only,strength,beginner
Elbows Back,chest,shoulders,,stretching,beginner
Elevated Back Lunge,quadriceps,"glutes, hamstrings",barbell,strength,intermediate
Elevated Cable Rows,lats,"middle back, traps",cable,strength,intermediate
Elliptical Trainer,quadriceps,"calves, glutes, hamstrings",machine,cardio,intermediate
Exercise Ball Crunch,abdominals,,exercise ball,strength,beginner
Exercise Ball Pull-In,abdominals,,exercise ball,strength,beginner
Extended Range One-Arm Kettlebell Floor Press,chest,"shoulders, triceps",kettlebells,strength,beginner
External Rotation,shoulders,,dumbbell,strength,beginner
External Rotation with Band,shoulders,,bands,strength,beginner
External Rotation with Cable,shoulders,,cable,strength,beginner
Face Pull,shoulders,middle back,cable,strength,intermediate
Farmer's Walk,forearms,"abdominals, glutes, hamstrings, lower back, quadriceps, traps",other,strongman,intermediate
Fast Skipping,quadriceps,"abductors, adductors, calves, glutes, hamstrings",body only,plyometrics,beginner
Finger Curls,forearms,,barbell,strength,beginner
Flat Bench Cable Flyes,chest,,cable,strength,intermediate
Flat Bench Leg Pull-In,abdominals,,body only,strength,beginner
Flat Bench Lying Leg Raise,abdominals,,body only,strength,beginner
Flexor Incline Dumbbell Curls,biceps,,dumbbell,strength,beginner
Floor Glute-Ham Raise,hamstrings,"calves, glutes",,strength,intermediate
Floor Press,triceps,"chest, shoulders",barbell,powerlifting,intermediate
Floor Press with Chains,triceps,"chest, shoulders",barbell,powerlifting,intermediate
Flutter Kicks,glutes,hamstrings,body only,strength,beginner
Foot-SMR,calves,,other,stretching,intermediate
Forward Drag with Press,chest,"calves, glutes, hamstrings, quadriceps, shoulders, triceps",other,strongman,intermediate
Frankenstein Squat,quadriceps,"abdominals, calves, glutes, hamstrings",barbell,olympic weightlifting,intermediate
Freehand Jump Squat,quadriceps,"calves, glutes, hamstrings",body only,strength,intermediate
Frog Hops,quadriceps,"calves, glutes, hamstrings",,stretching,intermediate
Frog Sit-Ups,abdominals,,body only,strength,intermediate
Front Barbell Squat,quadriceps,"calves, glutes, hamstrings",barbell,strength,expert
Front Barbell Squat To A Bench,quadriceps,"calves, glutes, hamstrings",barbell,strength,expert
Front Box Jump,hamstrings,"abductors, adductors, calves, glutes, quadriceps",other,plyometrics,beginner
Front Cable Raise,shoulders,,cable,strength,beginner
Front Cone Hops (or hurdle hops),quadriceps,"abductors, adductors, calves, glutes, hamstrings",other,plyometrics,beginner
Front Dumbbell Raise,shoulders,,dumbbell,strength,beginner
Front Incline Dumbbell Raise,shoulders,,dumbbell,strength,beginner
Front Leg Raises,hamstrings,,body only,stretching,beginner
Front Plate Raise,shoulders,,other,strength,intermediate
Front Raise And Pullover,chest,"lats, shoulders, triceps",barbell,strength,beginner
Front Squat (Clean Grip),quadriceps,"abdominals, glutes, hamstrings",barbell,strength,intermediate
Front Squats With Two Kettlebells,quadriceps,"calves, glutes",kettlebells,strength,intermediate
Front Two-Dumbbell Raise,shoulders,,dumbbell,strength,beginner
Full Range-Of-Motion Lat Pulldown,lats,"biceps, middle back, shoulders",cable,strength,intermediate
Gironda Sternum Chins,lats,"biceps, middle back",other,strength,intermediate
Glute Ham Raise,hamstrings,"calves, glutes",machine,powerlifting,intermediate
Glute Kickback,glutes,hamstrings,body only,strength,beginner
Goblet Squat,quadriceps,"calves, glutes, hamstrings, shoulders",kettlebells,strength,beginner
Good Morning,hamstrings,"abdominals, glutes, lower back",barbell,powerlifting,intermediate
Good Morning off Pins,hamstrings,"abdominals, glutes, lower back",barbell,powerlifting,intermediate
Gorilla Chin/Crunch,abdominals,"biceps, lats",body only,strength,intermediate
Groin and Back Stretch,adductors,,,stretching,intermediate
Groiners,adductors,,body only,stretching,intermediate
Hack Squat,quadriceps,"calves, glutes, hamstrings",machine,strength,beginner
Hammer Curls,biceps,,dumbbell,strength,beginner
Hammer Grip Incline DB Bench Press,chest,"shoulders, triceps",dumbbell,strength,beginner
Hamstring-SMR,hamstrings,,foam roll,stretching,beginner
Hamstring Stretch,hamstrings,,,stretching,beginner
Handstand Push-Ups,shoulders,triceps,body only,strength,expert
Hang Clean,quadriceps,"calves, forearms, glutes, hamstrings, lower back, shoulders, traps",barbell,olympic weightlifting,intermediate
Hang Clean - Below the Knees,quadriceps,"calves, forearms, glutes, hamstrings, lower back, shoulders, traps",barbell,olympic weightlifting,intermediate
Hang Snatch,hamstrings,"abdominals, calves, forearms, glutes, lower back, quadriceps, shoulders, traps",barbell,olympic weightlifting,expert
Hang Snatch - Below Knees,hamstrings,"abdominals, calves, forearms, glutes, lower back, quadriceps, shoulders, traps",barbell,olympic weightlifting,expert
Hanging Bar Good Morning,hamstrings,"abdominals, glutes, lower back",barbell,powerlifting,intermediate
Hanging Leg Raise,abdominals,,body only,strength,expert
Hanging Pike,abdominals,,body only,strength,expert
Heaving Snatch Balance,quadriceps,"abdominals, forearms, glutes, hamstrings, shoulders, triceps",barbell,olympic weightlifting,intermediate
Heavy Bag Thrust,chest,"abdominals, shoulders, triceps",other,plyometrics,beginner
High Cable Curls,biceps,,cable,strength,intermediate
Hip Circles (prone),abductors,adductors,body only,stretching,beginner
Hip Extension with Bands,glutes,hamstrings,bands,strength,beginner
Hip Flexion with Band,quadriceps,,bands,strength,beginner
Hip Lift with Band,glutes,"calves, hamstrings",bands,powerlifting,beginner
Hug A Ball,lower back,"calves, glutes",exercise ball,stretching,beginner
Hug Knees To Chest,lower back,glutes,,stretching,beginner
Hurdle Hops,hamstrings,"abductors, adductors, calves, glutes, hamstrings",other,plyometrics,beginner
Hyperextensions (Back Extensions),lower back,"glutes, hamstrings",other,strength,beginner
Hyperextensions With No Hyperextension Bench,lower back,"glutes, hamstrings",body only,strength,intermediate
IT Band and Glute Stretch,abductors,,other,stretching,intermediate
Iliotibial Tract-SMR,abductors,,foam roll,stretching,intermediate
Inchworm,hamstrings,,body only,stretching,beginner
Incline Barbell Triceps Extension,triceps,forearms,barbell,strength,intermediate
Incline Bench Pull,middle back,"lats, shoulders",barbell,strength,beginner
Incline Cable Chest Press,chest,"shoulders, triceps",cable,strength,beginner
Incline Cable Flye,chest,shoulders,cable,strength,intermediate
Incline Dumbbell Bench With Palms Facing In,chest,"shoulders, triceps",dumbbell,strength,beginner
Incline Dumbbell Curl,biceps,,dumbbell,strength,beginner
Incline Dumbbell Flyes,chest,shoulders,dumbbell,strength,beginner
Incline Dumbbell Flyes - With A Twist,chest,shoulders,dumbbell,strength,beginner
Incline Dumbbell Press,chest,"shoulders, triceps",dumbbell,strength,beginner
Incline Hammer Curls,biceps,,dumbbell,strength,beginner
Incline Inner Biceps Curl,biceps,,dumbbell,strength,beginner
Incline Push-Up,chest,"shoulders, triceps",body only,strength,beginner
Incline Push-Up Close-Grip,triceps,"chest, shoulders",body only,strength,beginner
Incline Push-Up Depth Jump,chest,"shoulders, triceps",other,plyometrics,beginner
Incline Push-Up Medium,chest,"abdominals, shoulders, triceps",body only,strength,beginner
Incline Push-Up Reverse Grip,chest,"abdominals, shoulders, triceps",body only,strength,beginner
Incline Push-Up Wide,chest,"abdominals, shoulders, triceps",body only,strength,beginner
Intermediate Groin Stretch,hamstrings,,other,stretching,intermediate
Intermediate Hip Flexor and Quad Stretch,quadriceps,,other,stretching,intermediate
Internal Rotation with Band,shoulders,,bands,strength,beginner
Inverted Row,middle back,lats,,strength,beginner
Inverted Row with Straps,middle back,"biceps, lats",other,strength,beginner
Iron Cross,shoulders,"chest, glutes, hamstrings, lower back, quadriceps, traps",dumbbell,strength,intermediate
Iron Crosses (stretch),quadriceps,,,stretching,intermediate
Isometric Chest Squeezes,chest,"shoulders, triceps",body only,plyometrics,beginner
Isometric Neck Exercise - Front And Back,neck,,body only,strength,beginner
Isometric Neck Exercise - Sides,neck,,body only,strength,beginner
Isometric Wipers,chest,"abdominals, shoulders, triceps",body only,strength,beginner
JM Press,triceps,"chest, shoulders",barbell,strength,beginner
Jackknife Sit-Up,abdominals,,body only,strength,beginner
Janda Sit-Up,abdominals,,body only,strength,beginner
Jefferson Squats,quadriceps,"calves, glutes, hamstrings, lower back, traps",barbell,strength,intermediate
Jerk Balance,shoulders,"glutes, hamstrings, quadriceps, triceps",barbell,olympic weightlifting,intermediate
Jerk Dip Squat,quadriceps,"abdominals, calves",barbell,olympic weightlifting,intermediate
"Jogging, Treadmill",quadriceps,"glutes, hamstrings",machine,cardio,beginner
Keg Load,lower back,"abdominals, biceps, calves, forearms, glutes, hamstrings, middle back, quadriceps, shoulders, traps",other,strongman,intermediate
Kettlebell Arnold Press,shoulders,triceps,kettlebells,strength,intermediate
Kettlebell Dead Clean,hamstrings,"calves, glutes, lower back, quadriceps, traps",kettlebells,strength,intermediate
